Table Name,row,Default Priority,Longname,"description (appears as variable ""comment"" in CMIP6 netCDF files)",units,comment (not sure how this is used),"Notes, Corrections, & Questions",Notes/Questions category,Notes/Questions category (secondary),Notes/Questions category (tertiary),override default severity,# institutions reporting per out_name,# models reporting per out_name,error severity,CF Standard Name,original CMIP6 cell_methods,proposed modification of cell_methods,where rule,new cell_methods,"""where"" extraction","refine ""where"" extraction","""over"" extraction","refine ""over"" extraction","realm implied by ""over"" directive",areaLabelDD,areaLabelDD (more refined),new standard_name criteria for realm,new auto-assigned primary realm,"primary realm for ""nd"" and ""mr"" (by inspection)",composite primary realm,realmLabelDD,auto-assigned additional realm based on standard name,"concat auto-assigned additional realm based on ""over"" directive","expand secondary a and o to ap, ac,op, and oc",user-assigned additional realms,Secondary realm(s),realmsDD,CMIP6 attribute: positive,CMIP6 attribute: type,verticalLabelDD (preliminary),verticalLabelDD (secondary),"indicate ""surface snow"" variables",certain surface variables?,verticalLabelDD (tertiary),verticalLabelDD (by inspection),verticalLabelDD (final),verticalLabelDD (final),horizontalLabelDD,original CMIP6 dimensions,proposed change in dimensions,corrected CMIP6 dimensions,original CMOR entry label,original CMIP6 modeling_realm (1st listed is primary),original CMIP6 frequency,new frequency (intervalReportedDD),temporalLabelDD,cell_measures,"CMIP6 variable name (referred to as ""out_name""; also original ""root"" name)",original CMIP6 almost unique variable label,branded variable label (retaining old root names),proposed new roots,proposed branded variable label,length of old i.d.,length of branded name,larger by a factor of,new-old difference ,"1=ant/grn; 2=globe-avg; 3=dupl.; 4=diff; 5=mult,6= sampling, 7=other",duplicate branded variable names,CMIP6 original primary realm,CMIP6 original secondary realm,CMIP6 abbrev. Primary realm,CMIP6 abbrev. secondary realm,old & new primary realms different,new primary different from all old realms,old primary different from all new realms,variable registry root names,distinct root variable name,same std. name; different root variable name,distinct CMIP6 outnames,distinct standard names,why different variable root name needed?,use_stats variable identifier,corresponding row in use_stats table,download ranking,use_stats & this page consistency,"original: ""where"" extraction","original: refine ""where"" extraction","original: domain from ""where"" directive",,expanded frequency,temporal method,vertical coordinate information,horizontal coordinate information,"""area type"" restriction",definition_qualifier:  additional description of variable.,cleaned definition_qualifier (removing text in brackets from column just to the left),brand description: automatically generated based on branded variable information,"next-generation CMIP comment attribute for variable (constructed from original comment attribute appended to proposed ""definition_qualifier"" (NOTE: The text following the final ""::"" will need to be reviewed and edited.)",dataRegionDD,cleaned version of region,"preliminary long_name: replaces ""time"" with frequency reported ","long_name: adds to brand description both ""frequency"" and for non-global data, ""region"" labels",duplicate long names?,count number of variables with the same (old) label in rows above,table_id transferred from ESGF database,variable_id transferred from ESGF database,old variable label (from ESGF database),# models reporting variable listed in column DD,count number of variables consistent with ESGF label,# models reporting variable listed in column BH,unrequested variables,models/groups providing unrequested variables,variables that might change,subhr,1hr,3hr,6hr,day,mon,yr,dec,fx,all,,,3hr,6hrLev,6hrPlev,6hrPlevPt,AERday,AERhr,AERmon,AERmonZ,Amon,CF3hr,CFday,CFmon,CFsubhr,day,E1hr,E1hrClimMon,E3hr,E3hrPt,E6hrZ,Eday,EdayZ,Efx,Emon,EmonZ,Esubhr,Eyr,fx,IfxAnt,IfxGre,ImonAnt,ImonGre,IyrAnt,IyrGre,LImon,Lmon,Oclim,Oday,Odec,Ofx,Omon,Oyr,SIday,SImon,all,area type,,x,air,sea,land,sea_ice,ice_sheet,other,all,,priority 1,priority 2,priority 3,all,,,,,,,,,,,,,,,,,,,"length of original CMIP6 ""outname""","Exclude from variable registry.  No need to distinguish among variables in different ""regions"" (e.g., Antarctica and Greenland)",Modify dimensions.  No need for special horizontal coordinates. ,Modify dimensions.  Add or remove scalar coordinate.,Modify dimension.  Other,Check units.,Standard name issue.,Modiy root name.,"Deprecate? Eliminate one of ""point"" or ""mean"" variable options.",Depricate?  Few institutions contributed variable to CMIP6.,Eliminate or deprecate?  ,"Modify cell methods.  Include ""where air"".","Modify cell methods.  Include ""where sea"".",Modify cell methods.,number of correction/question error flags found,number of corrections/questions needing individual consideration,branding suffix,duplicate suffix?
CF3hr,29,2,Stratiform Cloud Emissivity,This is the in-cloud emissivity obtained by considering only the cloudy portion of the grid cell.,1,0,"Should be ""where stratiform cloud"".  Need to add ""stratiform_cloud"" to area_types list.  Should be weighted by stratiform cloud fraction.",cellWt,,,,missing,missing,1,stratiform_cloud_longwave_emissivity,area: mean time: point,area: mean where stratiform_cloud time: point,2,area: mean where stratiform_cloud time: point,stratiform_cloud,stratiform_cloud,x,x,,sp,scl,a,a,,a,ap,,,,,,ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevel time1,,longitude latitude alevel time1,dems,atmos,3hrPt,3hr,tpt,area: areacella,dems,dems-CF3hr,dems-3hr-ap-tpt-l-hxy,,dems_tpt-l-hxy-scl,10,18,1.8,8,,,atmos,,ap,,0,,,dems,,,841,590,,CF3hr.dems,missing,x,,x,x,xx,xx --> sp,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid, where stratiform_cloud,,,stratiform cloud longwave emissivity: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid where stratiform_cloud,This is the in-cloud emissivity obtained by considering only the cloudy portion of the grid cell.,global,global,stratiform cloud longwave emissivity: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid where stratiform_cloud,stratiform cloud longwave emissivity: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid where stratiform_cloud,,0,6hrPlevPt,hurs,hurs-6hrPlevPt,1,0,1,1,EC-Earth3,1,,,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,missing,,,,missing,,,,,,,,,,,,stratiform_cloud,l,x,x,x,x,,x,X,4,,,,,,,,,,,,,12:Modify cell methods?,1,1,tpt-l-hxy-scl,yes
CF3hr,17,2,Stratiform Graupel Flux,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud. Graupel consists of heavily rimed snow particles, often called snow pellets; often indistinguishable from very small soft hail except when the size convention that hail must have a diameter greater than 5 mm is adopted. Reference: American Meteorological Society Glossary http://glossary.ametsoc.org/wiki/Graupel. There are also separate standard names for hail. Standard names for ""graupel_and_hail"" should be used to describe data produced by models that do not distinguish between hail and graupel.",kg m-2 s-1,0,,,,,,missing,missing,,stratiform_graupel_flux,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time1,,longitude latitude alevhalf time1,grpllsprof,atmos,3hrPt,3hr,tpt,area: areacella,grpllsprof,grpllsprof-CF3hr,grpllsprof-3hr-unknown-tpt-l-hxy,,grpllsprof_tpt-l-hxy-x,16,22,1.4,6,,,atmos,,ap,,1,1,0,grpllsprof,,,842,591,,CF3hr.grpllsprof,missing,x,,x,x,xx,xx --> x,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,,,,stratiform graupel flux: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud. Graupel consists of heavily rimed snow particles, often called snow pellets; often indistinguishable from very small soft hail except when the size convention that hail must have a diameter greater than 5 mm is adopted. Reference: American Meteorological Society Glossary http://glossary.ametsoc.org/wiki/Graupel. There are also separate standard names for hail. Standard names for ""graupel_and_hail"" should be used to describe data produced by models that do not distinguish between hail and graupel.",global,global,stratiform graupel flux: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,stratiform graupel flux: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,,0,6hrPlevPt,cldwatmxrat,cldwatmxrat-6hrPlevPt,1,1,0,,,0,,,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,,missing,,,,,,,,,,,,x,l,x,x,x,x,,x,,10,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,yes
CF3hr,19,2,Stratiform Rainfall Flux,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.  Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud.",kg m-2 s-1,0,,,,,,missing,missing,,stratiform_rainfall_flux,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time1,,longitude latitude alevhalf time1,prlsprof,atmos,3hrPt,3hr,tpt,area: areacella,prlsprof,prlsprof-CF3hr,prlsprof-3hr-unknown-tpt-l-hxy,,prlsprof_tpt-l-hxy-x,14,20,1.4,6,,,atmos,,ap,,1,1,0,prlsprof,,,843,592,,CF3hr.prlsprof,missing,x,,x,x,xx,xx --> x,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,,,,stratiform rainfall flux: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.  Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud.",global,global,stratiform rainfall flux: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,stratiform rainfall flux: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,,0,6hrPlevPt,tsl,tsl-6hrPlevPt,10,1,5,,,0,,,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,,missing,,,,,,,,,,,,x,l,x,x,x,x,,x,,8,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,yes
CF3hr,21,2,Stratiform Snowfall Flux,large-scale precipitation of all forms of water in the solid phase.,kg m-2 s-1,0,,,,,,missing,missing,,stratiform_snowfall_flux,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time1,,longitude latitude alevhalf time1,prlsns,atmos,3hrPt,3hr,tpt,area: areacella,prlsns,prlsns-CF3hr,prlsns-3hr-unknown-tpt-l-hxy,,prlsns_tpt-l-hxy-x,12,18,1.5,6,,,atmos,,ap,,1,1,0,prlsns,,,844,593,,CF3hr.prlsns,missing,x,,x,x,xx,xx --> x,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,,,,stratiform snowfall flux: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,large-scale precipitation of all forms of water in the solid phase.,global,global,stratiform snowfall flux: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,stratiform snowfall flux: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,,0,6hrPlevPt,snw,snw-6hrPlevPt,9,1,5,,,0,,,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,,missing,,,,,,,,,,,,x,l,x,x,x,x,,x,,6,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,yes
Emon,310,1,Stratospheric Optical Depth at 550nm (All Aerosols) 2D-Field (Stratosphere Only),From tropopause to stratopause as defined by the model,1,0,,,,,,missing,missing,,stratosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ac,,ac,unknown ac,0,real,z0X,z0X,x,,z0X,z0c,z0c,z0,hxy,longitude latitude time lambda550nm,,longitude latitude time lambda550nm,od550aerso,atmos,mon,mon,tavg,area: areacella,od550aerso,od550aerso-Emon,od550aerso-mon-unknown-tavg-z0c-hxy,,od550aerso_tavg-z0-hxy-x,15,24,1.6,9,,,atmos,,ap,,1,1,1,od550aerso,,,845,594,,Emon.od550aerso,missing,x,error1,x,x,xx,xx --> x,monthly, time means,, reported on a 2-d spatial grid,, at 550 nm, at 550 nm,stratosphere optical thickness due to ambient aerosol particles at 550 nm: time means reported on a 2-d spatial grid, at 550 nm :: From tropopause to stratopause as defined by the model,global,global,stratosphere optical thickness due to ambient aerosol particles at 550 nm: monthly means reported on a 2-d spatial grid,stratosphere optical thickness due to ambient aerosol particles at 550 nm: monthly means reported on a 2-d spatial grid,,0,6hrPlevPt,lwtoafluxaerocs,lwtoafluxaerocs-6hrPlevPt,3,1,3,,,0,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,XXX,x,z0,x,x,x,x,,x,,10,,,,,,,,,,,,,,0,0,tavg-z0-hxy-x,yes
Emon,311,1,Stratospheric Optical Depth at 550nm (Sulphate Only) 2D-Field (Stratosphere Only),Stratospheric aerosol AOD due to sulfate aerosol at a wavelength of 550 nanometres.,1,0,,,,,,missing,missing,,stratosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ac,,ac,unknown ac,0,real,z0X,z0X,x,,z0X,z0c,z0c,z0,hxy,longitude latitude time lambda550nm,,longitude latitude time lambda550nm,od550so4so,atmos,mon,mon,tavg,area: areacella,od550so4so,od550so4so-Emon,od550so4so-mon-unknown-tavg-z0c-hxy,,od550so4so_tavg-z0-hxy-x,15,24,1.6,9,,,atmos,,ap,,1,1,1,od550so4so,,,846,595,,Emon.od550so4so,missing,x,error1,x,x,xx,xx --> x,monthly, time means,, reported on a 2-d spatial grid,, at 550 nm, at 550 nm,stratosphere optical thickness due to sulfate ambient aerosol particles at 550 nm: time means reported on a 2-d spatial grid, at 550 nm :: Stratospheric aerosol AOD due to sulfate aerosol at a wavelength of 550 nanometres.,global,global,stratosphere optical thickness due to sulfate ambient aerosol particles at 550 nm: monthly means reported on a 2-d spatial grid,stratosphere optical thickness due to sulfate ambient aerosol particles at 550 nm: monthly means reported on a 2-d spatial grid,,0,6hrPlevPt,cldicemxrat,cldicemxrat-6hrPlevPt,1,1,0,,,0,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,XXX,x,z0,x,x,x,x,,x,,10,,,,,,,,,,,,,,0,0,tavg-z0-hxy-x,yes
Eday,124,1,Aerosol Optical Depth at 550nm Due to Stratospheric Volcanic Aerosols,Aerosol optical depth at 550nm due to stratospheric volcanic aerosols,1.00E-09,aerosol optical thickness at 550 nm due to stratospheric volcanic aerosols,,,,,,missing,missing,,stratosphere_optical_thickness_due_to_volcanic_ambient_aerosol_particles,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ac,,ac,unknown ac,0,real,z0X,z0X,x,,z0X,z0c,z0c,z0,hxy,longitude latitude time lambda550nm,,longitude latitude time lambda550nm,aod550volso4,atmos,day,day,tavg,area: areacella,aod550volso4,aod550volso4-Eday,aod550volso4-day-unknown-tavg-z0c-hxy,,aod550volso4_tavg-z0-hxy-x,17,26,1.5,9,,,atmos,,ap,,1,1,1,aod550volso4,,,847,596,,Eday.aod550volso4,missing,x,error1,x,x,xx,xx --> x,daily, time means,, reported on a 2-d spatial grid,, at 550 nm, at 550 nm,stratosphere optical thickness due to volcanic ambient aerosol particles at 550 nm: time means reported on a 2-d spatial grid, at 550 nm :: Aerosol optical depth at 550nm due to stratospheric volcanic aerosols,global,global,stratosphere optical thickness due to volcanic ambient aerosol particles at 550 nm: daily means reported on a 2-d spatial grid,stratosphere optical thickness due to volcanic ambient aerosol particles at 550 nm: daily means reported on a 2-d spatial grid,,0,6hrPlevPt,zg500,zg500-6hrPlevPt,39,1,2,,,0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,XXX,x,z0,x,x,x,x,,x,,12,,,,,,,,,,,,,,0,0,tavg-z0-hxy-x,yes
Lmon,39,2,Carbon Mass in Below-Ground Litter,"""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""subsurface litter"" means the part of the litter mixed within the soil below the surface. ""Content"" indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.",kg m-2,0,,,,,,missing,missing,,subsurface_litter_mass_content_of_carbon,area: mean where land time: mean,,2,area: mean where land time: mean,land,land,x,x,,lnd,lnd,lnd,lnd,,lnd,lnd,,,,,,lnd,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time,,longitude latitude time,cLitterBelow,land,mon,mon,tavg,area: areacella,cLitterBelow,cLitterBelow-Lmon,cLitterBelow-mon-lnd-tavg-z0c-hxy,,cLitterBelow_tavg-z0-hxy-lnd,17,28,1.6,11,,,land,,ld,,1,1,1,cLitterBelow,,,848,597,,Lmon.cLitterBelow,missing,x,,land time: mean,land,ld,ld --> lnd,monthly, time means,, reported on a 2-d spatial grid, where land,,,subsurface litter mass content of carbon: time means reported on a 2-d spatial grid where land,"""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""subsurface litter"" means the part of the litter mixed within the soil below the surface. ""Content"" indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.",global,global,subsurface litter mass content of carbon: monthly means reported on a 2-d spatial grid where land,subsurface litter mass content of carbon: monthly means reported on a 2-d spatial grid where land,,0,6hrPlevPt,rsdt,rsdt-6hrPlevPt,1,0,13,1,EC-Earth3,0,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,land,,,,,missing,,,,,,,missing,,,,,,,surface,XXXXXXXX,surface,,,land,z0,land time: mean,land,x,x,,ld,X,12,,,,,,,,,,,,,,0,0,tavg-z0-hxy-lnd,yes
Emon,53,2,Carbon Mass in Below-Ground Litter,subsurface litter pool fed by root inputs.,kg m-2,0,How does this differ from cLitterBelow-Lmon?,?,elim?,,1,missing,missing,1,subsurface_litter_mass_content_of_carbon,area: mean where land time: mean,,2,area: mean where land time: mean,land,land,x,x,,lnd,lnd,lnd,lnd,,lnd,lnd,,,,,,lnd,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time,,longitude latitude time,cLitterSubSurf,land,mon,mon,tavg,area: areacella,cLitterSubSurf,cLitterSubSurf-Emon,cLitterSubSurf-mon-lnd-tavg-z0c-hxy,,cLitterSubSurf_tavg-z0-hxy-lnd,19,30,1.6,11,7,,land,,ld,,1,1,1,cLitterSubSurf,,XXXXX,849,597,XXX eliminate?,Emon.cLitterSubSurf,missing,x,,land time: mean,land,ld,ld --> lnd,monthly, time means,, reported on a 2-d spatial grid, where land,???,???,subsurface litter mass content of carbon???: time means reported on a 2-d spatial grid where land,??? :: subsurface litter pool fed by root inputs.,global,global,subsurface litter mass content of carbon???: monthly means reported on a 2-d spatial grid where land,subsurface litter mass content of carbon???: monthly means reported on a 2-d spatial grid where land,,0,6hrPlevPt,sfcWind,sfcWind-6hrPlevPt,14,1,6,,,2,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,land,,,,,missing,,,,,,,missing,,,,,,,surface,XXXXXXXX,surface,,,land,z0,land time: mean,land,x,x,,ld,X,14,,,,,,,,,,9:Eliminate or deprecate?,,,,1,1,tavg-z0-hxy-lnd,yes
Emon,105,2,Nitrogen Mass in Below-Ground Litter (non CWD),"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Subsurface litter"" means the part of the litter mixed within the soil below the surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material.",kg m-2,0,,,,,,missing,missing,,subsurface_litter_mass_content_of_nitrogen,area: mean where land time: mean,,2,area: mean where land time: mean,land,land,x,x,,lnd,lnd,lnd,lnd,,lnd,lnd,,,,,,lnd,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time,,longitude latitude time,nLitterSubSurf,land,mon,mon,tavg,area: areacella,nLitterSubSurf,nLitterSubSurf-Emon,nLitterSubSurf-mon-lnd-tavg-z0c-hxy,,nLitterSubSurf_tavg-z0-hxy-lnd,19,30,1.6,11,,,land,,ld,,1,1,1,nLitterSubSurf,,,850,598,,Emon.nLitterSubSurf,missing,x,,land time: mean,land,ld,ld --> lnd,monthly, time means,, reported on a 2-d spatial grid, where land,,,subsurface litter mass content of nitrogen: time means reported on a 2-d spatial grid where land,"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Subsurface litter"" means the part of the litter mixed within the soil below the surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material.",global,global,subsurface litter mass content of nitrogen: monthly means reported on a 2-d spatial grid where land,subsurface litter mass content of nitrogen: monthly means reported on a 2-d spatial grid where land,,0,6hrPlevPt,swsffluxaero,swsffluxaero-6hrPlevPt,2,1,2,,,0,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,land,,,,,missing,,,,,,,missing,,,,,,,surface,XXXXXXXX,surface,,,land,z0,land time: mean,land,x,x,,ld,X,14,,,,,,,,,,,,,,0,0,tavg-z0-hxy-lnd,yes
Eday,83,1,Subsurface Runoff,"Runoff is the liquid water which drains from land. If not specified, ""runoff"" refers to the sum of surface runoff and subsurface drainage. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",kg m-2 s-1,subsurface_runoff_flux,,,,,,missing,missing,,subsurface_runoff_flux,area: mean where land time: mean,,2,area: mean where land time: mean,land,land,x,x,,lnd,lnd,mr,lnd,,lnd,lnd,,,,,,lnd,0,real,z0X,z0X,x,,z0X,z0c,z0c,z0,hxy,longitude latitude time,,longitude latitude time,mrrob,land,day,day,tavg,area: areacella,mrrob,mrrob-Eday,mrrob-day-lnd-tavg-z0c-hxy,,mrrob_tavg-z0-hxy-lnd,10,21,2.1,11,,,land,,ld,,1,1,1,mrrob,,,851,599,,Eday.mrrob,missing,x,error1,land time: mean,land,ld,ld --> lnd,daily, time means,, reported on a 2-d spatial grid, where land,,,subsurface runoff flux: time means reported on a 2-d spatial grid where land,"Runoff is the liquid water which drains from land. If not specified, ""runoff"" refers to the sum of surface runoff and subsurface drainage. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",global,global,subsurface runoff flux: daily means reported on a 2-d spatial grid where land,subsurface runoff flux: daily means reported on a 2-d spatial grid where land,,0,6hrPlevPt,swtoafluxaerocs,swtoafluxaerocs-6hrPlevPt,3,1,13,,,0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,land,,,,,missing,,,,,,missing,,,,,,,,surface,XXXXXXXX,surface,,,land,z0,land time: mean,land,x,x,,ld,X,5,,,,,,,,,,,,,,0,0,tavg-z0-hxy-lnd,yes
Aerhr,2,1,Surface Air Pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",Pa,0,,,,,,missing,missing,,surface_air_pressure,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,z0X,z0X,x,surface,z0s,z0i,z0i,z0,hxy,longitude latitude time,,longitude latitude time,ps,atmos,1hr,1hr,tavg,area: areacella,ps,ps-Aerhr,ps-1hr-unknown-tavg-z0i-hxy,,ps_tavg-z0-hxy-x,8,16,2.0,8,,,atmos,,ap,,1,1,0,ps,,,852,600,,Aerhr.ps,missing,x,error1,x,x,xx,xx --> x,hourly, time means,, reported on a 2-d spatial grid,,,,surface air pressure: time means reported on a 2-d spatial grid,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",global,global,surface air pressure: hourly means reported on a 2-d spatial grid,surface air pressure: hourly means reported on a 2-d spatial grid,,0,6hrPlevPt,ua,ua-6hrPlevPt,59,2,12,,,0,,missing,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,surface,,surface,surface,XXX,x,z0,x,x,x,x,,x,,2,,,,,,,,,,,,,,0,0,tavg-z0-hxy-x,yes
3hr,22,1,Surface Air Pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",Pa,"sampled synoptically to diagnose atmospheric tides, this is better than mean sea level pressure.",,,,,,missing,missing,,surface_air_pressure,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,z0X,z0X,x,surface,z0s,z0i,z0i,z0,hxy,longitude latitude time1,,longitude latitude time1,ps,atmos,3hrPt,3hr,tpt,area: areacella,ps,ps-3hr,ps-3hr-unknown-tpt-z0i-hxy,,ps_tpt-z0-hxy-x,6,15,2.5,9,,,atmos,,ap,,1,1,0,ps,1,,852,600,,3hr.ps,missing,x,error1,x,x,xx,xx --> x,3-hourly, synoptic samples,, reported on a 2-d spatial grid,,,,surface air pressure: synoptic samples reported on a 2-d spatial grid,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",global,global,surface air pressure: 3-hourly synoptic samples reported on a 2-d spatial grid,surface air pressure: 3-hourly synoptic samples reported on a 2-d spatial grid,,0,day,va,va-day,72,1,56,,,0,,,missing,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,surface,,surface,surface,XXX,x,z0,x,x,x,x,,x,,2,,,,,,,,,,,,,,0,0,tpt-z0-hxy-x,yes
